ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
CWEN|Clearway Energy, Inc. Class C Common Stock|N|CWEN|N|100.0|N|CWEN
CWEN.A|Clearway Energy, Inc. Class A Common Stock|N|CWEN.A|N|100.0|N|CWEN.A
CWH|Camping World Holdings, Inc. Class A Common Stock|N|CWH|N|100.0|N|CWH
CWK|Cushman & Wakefield plc Ordinary Shares|N|CWK|N|100.0|N|CWK
CWT|California Water Service Group Common Stock|N|CWT|N|100.0|N|CWT
CX|Cemex, S.A.B. de C.V. Sponsored ADR|N|CX|N|100.0|N|CX
CXE|MFS High Income Municipal Trust Common Stock|N|CXE|N|100.0|N|CXE
CXH|MFS Investment Grade Municipal Trust Common Stock|N|CXH|N|100.0|N|CXH
CXM|Sprinklr, Inc. Class A Common Stock|N|CXM|N|100.0|N|CXM
CXT|Crane NXT, Co. Common Stock|N|CXT|N|100.0|N|CXT
CXW|CoreCivic, Inc. Common Stock|N|CXW|N|100.0|N|CXW
CYBN|Cybin Inc. Common Shares|A|CYBN|N|100.0|N|CYBN
CYD|China Yuchai International Limited Common Stock|N|CYD|N|100.0|N|CYD
CYH|Community Health Systems, Inc. Common Stock|N|CYH|N|100.0|N|CYH
D|Dominion Energy, Inc. Common Stock|N|D|N|100.0|N|D
DAC|Danaos Corporation Common Stock|N|DAC|N|100.0|N|DAC
DAL|Delta Air Lines, Inc. Common Stock|N|DAL|N|100.0|N|DAL
DAN|Dana Incorporated Common Stock |N|DAN|N|100.0|N|DAN
DAO|Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share|N|DAO|N|100.0|N|DAO
DAR|Darling Ingredients Inc. Common Stock|N|DAR|N|100.0|N|DAR
DAVA|Endava plc American Depositary Shares (each representing one Class A Ordinary Share)|N|DAVA|N|100.0|N|DAVA
DAY|Dayforce, Inc. Common Stock|N|DAY|N|100.0|N|DAY
DB|Deutsche Bank AG Common Stock|N|DB|N|100.0|N|DB
DBD|Diebold Nixdorf Incorporated Common stock|N|DBD|N|100.0|N|DBD
DBI|Designer Brands Inc. Class A Common Stock|N|DBI|N|100.0|N|DBI
DBL|DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest|N|DBL|N|100.0|N|DBL
DBRG|DigitalBridge Group, Inc.|N|DBRG|N|100.0|N|DBRG
DC|Dakota Gold Corp. Common Stock|A|DC|N|100.0|N|DC
DCF|BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc. Common Stock|N|DCF|N|100.0|N|DCF
DCI|Donaldson Company, Inc. Common Stock|N|DCI|N|100.0|N|DCI
DCO|Ducommun Incorporated Common Stock|N|DCO|N|100.0|N|DCO
DD|DuPont de Nemours, Inc. Common Stock|N|DD|N|100.0|N|DD
DDC|DDC Enterprise Limited Class A Ordinary Shares|A|DDC|N|100.0|N|DDC
DDD|3D Systems Corporation Common Stock|N|DDD|N|100.0|N|DDD
DDL|Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)|N|DDL|N|100.0|N|DDL
DDS|Dillard's, Inc. Common Stock|N|DDS|N|100.0|N|DDS
DDT|Dillard's Capital Trust I|N|DDT|N|100.0|N|DDT
DE|Deere & Company Common Stock|N|DE|N|100.0|N|DE
DEA|Easterly Government Properties, Inc. Common Stock|N|DEA|N|100.0|N|DEA
DEC|Diversified Energy Company plc Ordinary Shares|N|DEC|N|100.0|N|DEC
DECK|Deckers Outdoor Corporation Common Stock|N|DECK|N|100.0|N|DECK
DEI|Douglas Emmett, Inc. Common Stock|N|DEI|N|100.0|N|DEI
DELL|Dell Technologies Inc. Class C Common Stock |N|DELL|N|100.0|N|DELL
DEO|Diageo plc Common Stock|N|DEO|N|100.0|N|DEO
DESP|Despegar.com, Corp. Ordinary Shares|N|DESP|N|100.0|N|DESP
DFH|Dream Finders Homes, Inc. Class A Common Stock|N|DFH|N|100.0|N|DFH
DFIN|Donnelley Financial Solutions, Inc. Common Stock |N|DFIN|N|100.0|N|DFIN
DFP|Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock|N|DFP|N|100.0|N|DFP
DFS|Discover Financial Services Common Stock|N|DFS|N|100.0|N|DFS
DG|Dollar General Corporation Common Stock|N|DG|N|100.0|N|DG
DGP|DB Gold Double Long ETN due February 15, 2038|P|DGP|N|100.0|N|DGP
DGX|Quest Diagnostics Incorporated Common Stock|N|DGX|N|100.0|N|DGX
DGZ|DB Gold Short ETN due February 15, 2038|P|DGZ|N|100.0|N|DGZ
DHF|BNY Mellon High Yield Strategies Fund Common Stock|N|DHF|N|100.0|N|DHF
DHI|D.R. Horton, Inc. Common Stock|N|DHI|N|100.0|N|DHI
DHR|Danaher Corporation Common Stock|N|DHR|N|100.0|N|DHR
DHT|DHT Holdings, Inc.|N|DHT|N|100.0|N|DHT
DHX|DHI Group, Inc. Common Stock|N|DHX|N|100.0|N|DHX
DHY|Credit Suisse High Yield Bond Fund Common Stock|A|DHY|N|100.0|N|DHY
DIAX|Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest|N|DIAX|N|100.0|N|DIAX
DIN|Dine Brands Global, Inc. Common Stock|N|DIN|N|100.0|N|DIN
DINO|HF Sinclair Corporation Common Stock|N|DINO|N|100.0|N|DINO
DIS|Walt Disney Company (The) Common Stock|N|DIS|N|100.0|N|DIS
DIT|AMCON Distributing Company Common Stock|A|DIT|N|10.0|N|DIT
DJP|iPath Bloomberg Commodity Index Total Return ETN|P|DJP|N|100.0|N|DJP
DK|Delek US Holdings, Inc. Common Stock|N|DK|N|100.0|N|DK
DKL|Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests|N|DKL|N|100.0|N|DKL
DKS|Dick's Sporting Goods Inc Common Stock|N|DKS|N|100.0|N|DKS
DLA|Delta Apparel, Inc. Common Stock|A|DLA|N|100.0|N|DLA
DLB|Dolby Laboratories Common Stock|N|DLB|N|100.0|N|DLB
DLNG|Dynagas LNG Partners LP Common Units|N|DLNG|N|100.0|N|DLNG
DLR|Digital Realty Trust, Inc. Common Stock|N|DLR|N|100.0|N|DLR
DLX|Deluxe Corporation Common Stock|N|DLX|N|100.0|N|DLX
DLY|DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest|N|DLY|N|100.0|N|DLY
DM|Desktop Metal, Inc. Class A Common Stock|N|DM|N|100.0|N|DM
DMA|Destra Multi-Alternative Fund Common Stock|N|DMA|N|100.0|N|DMA
DMB|BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock|N|DMB|N|100.0|N|DMB
DMF|BNY Mellon Municipal Income Inc. Common Stock|A|DMF|N|100.0|N|DMF
DMO|Western Asset Mortgage Opportunity Fund Inc. Common Stock|N|DMO|N|100.0|N|DMO
DMYY|dMY Squared Technology Group, Inc. Class A Common Stock|A|DMYY|N|100.0|N|DMYY
DNA|Ginkgo Bioworks Holdings, Inc. Class A Common Stock|N|DNA|N|100.0|N|DNA
DNB|Dun & Bradstreet Holdings, Inc. Common Stock|N|DNB|N|100.0|N|DNB
DNMR|Danimer Scientific, Inc. Common Stock|N|DNMR|N|100.0|N|DNMR
DNN|Denison Mines Corp Ordinary Shares (Canada)|A|DNN|N|100.0|N|DNN
DNOW|DNOW Inc. Common Stock|N|DNOW|N|100.0|N|DNOW
DNP|DNP Select Income Fund, Inc. Common Stock|N|DNP|N|100.0|N|DNP
DO|Diamond Offshore Drilling, Inc. Common Stock|N|DO|N|100.0|N|DO
DOC|Healthpeak Properties, Inc. Common Stock|N|DOC|N|100.0|N|DOC
DOCN|DigitalOcean Holdings, Inc. Common Stock|N|DOCN|N|100.0|N|DOCN
DOCS|Doximity, Inc. Class A Common Stock|N|DOCS|N|100.0|N|DOCS
DOLE|Dole plc Ordinary Shares|N|DOLE|N|100.0|N|DOLE
DOMA|Doma Holdings, Inc. Common Stock|N|DOMA|N|100.0|N|DOMA
DOUG|Douglas Elliman Inc. Common Stock|N|DOUG|N|100.0|N|DOUG
DOV|Dover Corporation Common Stock|N|DOV|N|100.0|N|DOV
DOW|Dow Inc. Common Stock |N|DOW|N|100.0|N|DOW
DPG|Duff & Phelps Utility and Infrastructure Fund Inc.|N|DPG|N|100.0|N|DPG
DPSI|DecisionPoint Systems, Inc. Common Stock|A|DPSI|N|100.0|N|DPSI
DPZ|Domino's Pizza Inc Common Stock|N|DPZ|N|100.0|N|DPZ
DQ|DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares|N|DQ|N|100.0|N|DQ
DRD|DRDGOLD Limited American Depositary Shares|N|DRD|N|100.0|N|DRD
DRH|Diamondrock Hospitality Company Common Stock|N|DRH|N|100.0|N|DRH
DRI|Darden Restaurants, Inc. Common Stock|N|DRI|N|100.0|N|DRI
DRQ|Dril-Quip, Inc. Common Stock|N|DRQ|N|100.0|N|DRQ
DSL|DoubleLine Income Solutions Fund Common Shares of Beneficial Interests|N|DSL|N|100.0|N|DSL
DSM|BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock|N|DSM|N|100.0|N|DSM
DSS|DSS, Inc. Common Stock|A|DSS|N|100.0|N|DSS
DSU|Blackrock Debt Strategies Fund, Inc. Common Stock|N|DSU|N|100.0|N|DSU
DSX|Diana Shipping inc. common stock|N|DSX|N|100.0|N|DSX
DT|Dynatrace, Inc. Common Stock|N|DT|N|100.0|N|DT
DTB|DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080|N|DTB|N|100.0|N|DTB
DTC|Solo Brands, Inc. Class A Common Stock|N|DTC|N|100.0|N|DTC
DTE|DTE Energy Company Common Stock|N|DTE|N|100.0|N|DTE
DTF|DTF Tax-Free Income 2028 Term Fund Inc. Common Stock|N|DTF|N|100.0|N|DTF
DTG|DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures|N|DTG|N|100.0|N|DTG
DTM|DT Midstream, Inc. Common Stock |N|DTM|N|100.0|N|DTM
DTW|DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077|N|DTW|N|100.0|N|DTW
DUK|Duke Energy Corporation (Holding Company) Common Stock|N|DUK|N|100.0|N|DUK
DUKB|Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078|N|DUKB|N|100.0|N|DUKB
DV|DoubleVerify Holdings, Inc. Common Stock|N|DV|N|100.0|N|DV
DVA|DaVita Inc. Common Stock|N|DVA|N|100.0|N|DVA
DVN|Devon Energy Corporation Common Stock|N|DVN|N|100.0|N|DVN
DX|Dynex Capital, Inc. Common Stock|N|DX|N|100.0|N|DX
DXC|DXC Technology Company Common Stock |N|DXC|N|100.0|N|DXC
DXF|Dunxin Financial Holdings Limited American Depositary Shares|A|DXF|N|100.0|N|DXF
DXYZ|Destiny Tech100 Inc. Common Stock|N|DXYZ|N|100.0|N|DXYZ
DY|Dycom Industries, Inc. Common Stock|N|DY|N|100.0|N|DY
DZZ|DB Gold Double Short ETN due February 15, 2038|P|DZZ|N|100.0|N|DZZ
E|ENI S.p.A. Common Stock|N|E|N|100.0|N|E
EAD|Allspring Income Opportunities Fund Common Shares|A|EAD|N|100.0|N|EAD
EAF|GrafTech International Ltd. Common Stock|N|EAF|N|100.0|N|EAF
EAI|Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066|N|EAI|N|100.0|N|EAI
EARN|Ellington Credit Company Common Shares of Beneficial Interest|N|EARN|N|100.0|N|EARN
EAT|Brinker International, Inc. Common Stock|N|EAT|N|100.0|N|EAT
EB|Eventbrite, Inc. Class A Common Stock|N|EB|N|100.0|N|EB
EBF|Ennis, Inc. Common Stock|N|EBF|N|100.0|N|EBF
EBR|Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)|N|EBR|N|100.0|N|EBR
EBR.B|Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share)|N|EBR.B|N|100.0|N|EBR.B
EBS|Emergent Biosolutions, Inc. Common Stock|N|EBS|N|100.0|N|EBS
EC|Ecopetrol S.A. American Depositary Shares|N|EC|N|100.0|N|EC
ECAT|BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest|N|ECAT|N|100.0|N|ECAT
ECC|Eagle Point Credit Company Inc. Common Stock|N|ECC|N|100.0|N|ECC
ECCC|Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031|N|ECCC|N|100.0|N|ECCC
ECCF|Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029|N|ECCF|N|100.0|N|ECCF
ECCV|Eagle Point Credit Company Inc. 5.375% Notes due 2029|N|ECCV|N|100.0|N|ECCV
ECCW|Eagle Point Credit Company Inc. 6.75% Notes due 2031|N|ECCW|N|100.0|N|ECCW
ECCX|Eagle Point Credit Company Inc. 6.6875% Notes due 2028|N|ECCX|N|100.0|N|ECCX
ECF|Ellsworth Growth and Income Fund Ltd.|A|ECF|N|100.0|N|ECF
ECL|Ecolab Inc. Common Stock|N|ECL|N|100.0|N|ECL
ECO|Okeanis Eco Tankers Corp. Common Stock|N|ECO|N|100.0|N|ECO
ECVT|Ecovyst Inc. Common Stock|N|ECVT|N|100.0|N|ECVT
ED|Consolidated Edison, Inc. Common Stock|N|ED|N|100.0|N|ED
EDD|Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock|N|EDD|N|100.0|N|EDD
EDF|Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest|N|EDF|N|100.0|N|EDF
EDN|Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares|N|EDN|N|100.0|N|EDN
EDR|Endeavor Group Holdings, Inc. Class A Common Stock|N|EDR|N|100.0|N|EDR
EDU|New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)|N|EDU|N|100.0|N|EDU
EE|Excelerate Energy, Inc. Class A Common Stock|N|EE|N|100.0|N|EE
EEA|The European Equity Fund, Inc. Common Stock|N|EEA|N|100.0|N|EEA
EEX|Emerald Holding, Inc. Common Stock|N|EEX|N|100.0|N|EEX
EFC|Ellington Financial Inc. Common Stock |N|EFC|N|100.0|N|EFC
EFR|Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest|N|EFR|N|100.0|N|EFR
EFSH|1847 Holdings LLC Common Shares|A|EFSH|N|100.0|N|EFSH
EFT|Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest|N|EFT|N|100.0|N|EFT
EFX|Equifax, Inc. Common Stock|N|EFX|N|100.0|N|EFX
EFXT|Enerflex Ltd Common Shares|N|EFXT|N|100.0|N|EFXT
EG|Everest Group, Ltd. Common Stock|N|EG|N|100.0|N|EG
EGF|Blackrock Enhanced Government Fund, Inc. Common Stock|N|EGF|N|100.0|N|EGF
EGO|Eldorado Gold Corporation Ordinary Shares|N|EGO|N|100.0|N|EGO
EGP|EastGroup Properties, Inc. Common Stock|N|EGP|N|100.0|N|EGP
EGY|VAALCO Energy, Inc.  Common Stock|N|EGY|N|100.0|N|EGY
EHAB|Enhabit, Inc. Common Stock|N|EHAB|N|100.0|N|EHAB
EHC|Encompass Health Corporation Common Stock|N|EHC|N|100.0|N|EHC
EHI|Western Asset Global High Income Fund Inc Common Stock|N|EHI|N|100.0|N|EHI
EIC|Eagle Point Income Company Inc. Common Stock|N|EIC|N|100.0|N|EIC
EICA|Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026|N|EICA|N|100.0|N|EICA
EICB|Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028|N|EICB|N|100.0|N|EICB
EICC|Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029|N|EICC|N|100.0|N|EICC
EIG|Employers Holdings Inc Common Stock|N|EIG|N|100.0|N|EIG
EIM|Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value|A|EIM|N|100.0|N|EIM
EIX|Edison International Common Stock|N|EIX|N|100.0|N|EIX
EL|Estee Lauder Companies, Inc. (The) Common Stock|N|EL|N|100.0|N|EL
ELA|Envela Corporation Common Stock|A|ELA|N|100.0|N|ELA
ELAN|Elanco Animal Health Incorporated Common Stock|N|ELAN|N|100.0|N|ELAN
ELC|Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066|N|ELC|N|100.0|N|ELC
ELF|e.l.f. Beauty, Inc. Common Stock|N|ELF|N|100.0|N|ELF
ELLO|Ellomay Capital Ltd Ordinary Shares (Israel)|A|ELLO|N|100.0|N|ELLO
ELMD|Electromed, Inc. Common Stock|A|ELMD|N|100.0|N|ELMD
ELME|Elme Communities Common Stock|N|ELME|N|100.0|N|ELME
ELP|Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)|N|ELP|N|100.0|N|ELP
ELPC|Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares)|N|ELPC|N|100.0|N|ELPC
ELS|Equity Lifestyle Properties, Inc. Common Stock|N|ELS|N|100.0|N|ELS
ELV|Elevance Health, Inc. Common Stock|N|ELV|N|100.0|N|ELV
EMD|Western Asset Emerging Markets Debt Fund Inc Common Stock|N|EMD|N|100.0|N|EMD
EME|EMCOR Group, Inc. Common Stock|N|EME|N|100.0|N|EME
EMF|Templeton Emerging Markets Fund Common Stock|N|EMF|N|100.0|N|EMF
EMN|Eastman Chemical Company Common Stock|N|EMN|N|100.0|N|EMN
EMO|ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock|N|EMO|N|100.0|N|EMO
EMP|Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066|N|EMP|N|100.0|N|EMP
EMR|Emerson Electric Company Common Stock|N|EMR|N|100.0|N|EMR
EMX|EMX Royalty Corporation Common Shares (Canada)|A|EMX|N|100.0|N|EMX
ENB|Enbridge Inc Common Stock|N|ENB|N|100.0|N|ENB
ENFN|Enfusion, Inc. Class A Common Stock|N|ENFN|N|100.0|N|ENFN
ENIC|Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)|N|ENIC|N|100.0|N|ENIC
ENJ|Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052|N|ENJ|N|100.0|N|ENJ
ENLC|EnLink Midstream, LLC Common Units representing Limited Partner Interests|N|ENLC|N|100.0|N|ENLC
ENO|Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066|N|ENO|N|100.0|N|ENO
ENOV|Enovis Corporation Common Stock|N|ENOV|N|100.0|N|ENOV
ENR|Energizer Holdings, Inc. Common Stock|N|ENR|N|100.0|N|ENR
ENS|EnerSys Common Stock|N|ENS|N|100.0|N|ENS
ENSV|Enservco Corporation Common Stock|A|ENSV|N|100.0|N|ENSV
ENV|Envestnet, Inc Common Stock|N|ENV|N|100.0|N|ENV
ENVA|Enova International, Inc. Common Stock|N|ENVA|N|100.0|N|ENVA
ENX|Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value|A|ENX|N|100.0|N|ENX
ENZ|Enzo Biochem, Inc. Common Stock ($0.01 Par Value)|N|ENZ|N|100.0|N|ENZ
EOD|Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest|N|EOD|N|100.0|N|EOD
EOG|EOG Resources, Inc. Common Stock|N|EOG|N|100.0|N|EOG
EOI|Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest|N|EOI|N|100.0|N|EOI
EOS|Eaton Vance Enhance Equity Income Fund II Common Stock|N|EOS|N|100.0|N|EOS
EOT|Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST|N|EOT|N|100.0|N|EOT
EP|Empire Petroleum Corporation Common Stock|A|EP|N|100.0|N|EP
EPAC|Enerpac Tool Group Corp. Common Stock|N|EPAC|N|100.0|N|EPAC
EPAM|EPAM Systems, Inc. Common Stock|N|EPAM|N|100.0|N|EPAM
EPC|Edgewell Personal Care Company Common Stock|N|EPC|N|100.0|N|EPC
EPD|Enterprise Products Partners L.P. Common Stock|N|EPD|N|100.0|N|EPD
EPM|Evolution Petroleum Corporation, Inc. Common Stock|A|EPM|N|100.0|N|EPM
EPR|EPR Properties Common Stock|N|EPR|N|100.0|N|EPR
EPRT|Essential Properties Realty Trust, Inc. Common Stock|N|EPRT|N|100.0|N|EPRT
EQBK|Equity Bancshares, Inc. Class A Common Stock|N|EQBK|N|100.0|N|EQBK
EQC|Equity Commonwealth Common Shares of Beneficial Interest|N|EQC|N|100.0|N|EQC
EQH|Equitable Holdings, Inc. Common Stock|N|EQH|N|100.0|N|EQH
EQNR|Equinor ASA|N|EQNR|N|100.0|N|EQNR
EQR|Equity Residential Common Shares of Beneficial Interest|N|EQR|N|100.0|N|EQR
EQS|Equus Total Return, Inc. Common Stock|N|EQS|N|100.0|N|EQS
EQT|EQT Corporation Common Stock|N|EQT|N|100.0|N|EQT
EQX|Equinox Gold Corp. Common Shares|A|EQX|N|100.0|N|EQX
ERC|Allspring Multi-Sector Income Fund Common Stock|A|ERC|N|100.0|N|ERC
ERH|Allspring Utilities and High Income Fund Common Shares|A|ERH|N|100.0|N|ERH
ERJ|Embraer S.A. Common Stock|N|ERJ|N|100.0|N|ERJ
ERO|Ero Copper Corp. Common Shares|N|ERO|N|100.0|N|ERO
ES|Eversource Energy (D/B/A) Common Stock|N|ES|N|100.0|N|ES
ESAB|ESAB Corporation Common Stock|N|ESAB|N|100.0|N|ESAB
ESBA|Empire State Realty OP, L.P. Series ES Operating Partnership Units Representing Limited Partnership Interests|P|ESBA|N|100.0|N|ESBA
ESE|ESCO Technologies Inc. Common Stock|N|ESE|N|100.0|N|ESE
ESI|Element Solutions Inc. Common Stock|N|ESI|N|100.0|N|ESI
ESNT|Essent Group Ltd. Common Shares|N|ESNT|N|100.0|N|ESNT
ESP|Espey Mfg. & Electronics Corp. Common Stock|A|ESP|N|100.0|N|ESP
ESRT|Empire State Realty Trust, Inc. Class A Common Stock|N|ESRT|N|100.0|N|ESRT
ESS|Essex Property Trust, Inc. Common Stock|N|ESS|N|100.0|N|ESS
ESTC|Elastic N.V. Ordinary Shares|N|ESTC|N|100.0|N|ESTC
ET|Energy Transfer LP Common Units |N|ET|N|100.0|N|ET
ETB|Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest|N|ETB|N|100.0|N|ETB
ETD|Ethan Allen Interiors Inc. Common Stock|N|ETD|N|100.0|N|ETD
ETG|Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest|N|ETG|N|100.0|N|ETG
ETJ|Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest|N|ETJ|N|100.0|N|ETJ
ETN|Eaton Corporation, PLC Ordinary Shares|N|ETN|N|100.0|N|ETN
ETO|Eaton Vance Tax-Advantage Global Dividend Opp Common Stock|N|ETO|N|100.0|N|ETO
ETR|Entergy Corporation Common Stock|N|ETR|N|100.0|N|ETR
ETRN|Equitrans Midstream Corporation Common Stock |N|ETRN|N|100.0|N|ETRN
ETV|Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest|N|ETV|N|100.0|N|ETV
ETW|Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest|N|ETW|N|100.0|N|ETW
ETWO|E2open Parent Holdings, Inc.Class A Common Stock|N|ETWO|N|100.0|N|ETWO
ETX|Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest|N|ETX|N|100.0|N|ETX
ETY|Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,|N|ETY|N|100.0|N|ETY
EURN|Euronav NV Ordinary Shares|N|EURN|N|100.0|N|EURN
EVA|Enviva Inc. Common Stock|N|EVA|N|100.0|N|EVA
EVBN|Evans Bancorp, Inc. Common Stock|A|EVBN|N|100.0|N|EVBN
EVC|Entravision Communications Corporation Common Stock|N|EVC|N|100.0|N|EVC
EVE|EVe Mobility Acquisition Corp Class A Ordinary Shares|A|EVE|N|100.0|N|EVE
EVEX|Eve Holding, Inc. Common Stock|N|EVEX|N|100.0|N|EVEX
EVF|Eaton Vance Senior Income Trust Common Stock|N|EVF|N|100.0|N|EVF
EVG|Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest|N|EVG|N|100.0|N|EVG
EVH|Evolent Health, Inc Class A Common Stock|N|EVH|N|100.0|N|EVH
EVI|EVI Industries, Inc.  Common Stock|A|EVI|N|100.0|N|EVI
EVM|Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value|A|EVM|N|100.0|N|EVM
EVN|Eaton Vance Municipal Income Trust Common Stock|N|EVN|N|100.0|N|EVN
EVR|Evercore Inc. Class A Common Stock|N|EVR|N|100.0|N|EVR
EVRI|Everi Holdings Inc. Common Stock|N|EVRI|N|100.0|N|EVRI
EVT|Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest|N|EVT|N|100.0|N|EVT
EVTC|Evertec, Inc. Common Stock|N|EVTC|N|100.0|N|EVTC
EVTL|Vertical Aerospace Ltd. Ordinary Shares|N|EVTL|N|100.0|N|EVTL
EVV|Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest|A|EVV|N|100.0|N|EVV
EW|Edwards Lifesciences Corporation Common Stock|N|EW|N|100.0|N|EW
EXG|Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest|N|EXG|N|100.0|N|EXG
EXK|Endeavour Silver Corporation Ordinary Shares (Canada)|N|EXK|N|100.0|N|EXK
EXP|Eagle Materials Inc Common Stock|N|EXP|N|100.0|N|EXP
EXPD|Expeditors International of Washington, Inc. Common Stock|N|EXPD|N|100.0|N|EXPD
EXR|Extra Space Storage Inc Common Stock|N|EXR|N|100.0|N|EXR
EXTO|Almacenes Exito S.A. American Depositary Share, each representing eight (8) Common Shares|N|EXTO|N|100.0|N|EXTO
F|Ford Motor Company Common Stock|N|F|N|100.0|N|F
FAF|First American Corporation (New) Common Stock|N|FAF|N|100.0|N|FAF
FAM|First Trust/abrdn Global Opportunity Income Fund Common Shares of Beneficial Interest|N|FAM|N|100.0|N|FAM
FAX|abrdn Asia-Pacific Income Fund, Inc. Common Stock|A|FAX|N|100.0|N|FAX
FBGX|UBS AG FI Enhanced Large Cap Growth ETN|P|FBGX|N|100.0|N|FBGX
FBIN|Fortune Brands Innovations, Inc. Common Stock|N|FBIN|N|100.0|N|FBIN
FBK|FB Financial Corporation Common Stock|N|FBK|N|100.0|N|FBK
FBMS|First Bancshares, Inc.|N|FBMS|N|100.0|N|FBMS
FBP|First BanCorp. New Common Stock|N|FBP|N|100.0|N|FBP
FBRT|Franklin BSP Realty Trust, Inc. Common Stock|N|FBRT|N|100.0|N|FBRT
FC|Franklin Covey Company Common Stock|N|FC|N|100.0|N|FC
FCF|First Commonwealth Financial Corporation Common Stock|N|FCF|N|100.0|N|FCF
FCN|FTI Consulting, Inc. Common Stock|N|FCN|N|100.0|N|FCN
FCO|abrdn Global Income Fund, Inc. Common Stock|A|FCO|N|100.0|N|FCO
FCPT|Four Corners Property Trust, Inc. Common Stock|N|FCPT|N|100.0|N|FCPT
FCRX|Crescent Capital BDC, Inc. 5.00% Notes due 2026|N|FCRX|N|100.0|N|FCRX
FCT|First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest|N|FCT|N|100.0|N|FCT
FCX|Freeport-McMoRan, Inc. Common Stock|N|FCX|N|100.0|N|FCX
